content,category
The app crashes every time I open it,bug
Add dark mode please,feature_request
Very useful and fast,positive_feedback
Too many ads!,complaint
Great support from the team,positive_feedback
Can't log in after update,bug
Needs better UI,feature_request
App is very slow,complaint
Love the new design!,positive_feedback
Notifications not working,bug
Include fingerprint login,feature_request
App freezes on startup,bug
UI is clean and smooth,positive_feedback
Reduce battery usage,feature_request
Not satisfied with the latest update,complaint
