review,rating,date,language,app
bad for youth,1,2025-07-17 15:03:13,en,com.instagram.android
very nice app,5,2025-07-17 15:03:07,en,com.instagram.android
good,4,2025-07-17 15:01:36,so,com.instagram.android
매우 필요해요.,5,2025-07-17 15:01:35,ko,com.instagram.android
good,5,2025-07-17 15:01:04,so,com.instagram.android
i love ig i been on there since 2016,5,2025-07-17 14:59:37,en,com.instagram.android
in this app you can do fun and talks our friends relatives it is useful app,5,2025-07-17 14:59:25,en,com.instagram.android
Good,5,2025-07-17 14:58:44,so,com.instagram.android
"very bad recently new updated they removed active status from the note section, I think it should not be removed because It was speciality of the instagram means we can see who is active in DM. the recent updates are very bad and because of this who is active we can see in note section I was using Instagram because of this",1,2025-07-17 14:58:07,en,com.instagram.android
thank you,3,2025-07-17 14:57:24,en,com.instagram.android
